City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,20.91,81,20,3.6,US,1707887472
1,diu,20.7141,70.9822,26.82,21,2,4.42,IN,1707887473
2,marka,1.7159,44.7717,27.03,80,32,6.26,SO,1707887474
3,muroto-misakicho,33.2833,134.15,15.89,68,100,1.6,JP,1707887476
4,la paz,-16.5,-68.15,9.21,83,99,1.34,BO,1707887477
5,puerto leguizamo,-0.1934,-74.7819,22.91,98,96,1.98,CO,1707887478
6,port-aux-francais,-49.35,70.2167,8.26,92,100,10.2,TF,1707887478
7,grytviken,-54.2811,-36.5092,5.72,89,100,5.16,GS,1707887479
8,taunsa,30.7048,70.6505,21.17,15,0,0.33,PK,1707887303
9,whitehorse,60.7161,-135.0538,-16.0,95,42,1.55,CA,1707887481
10,ushuaia,-54.8,-68.3,8.81,66,75,6.17,AR,1707887305
11,iqaluit,63.7506,-68.5145,-25.13,96,68,2.26,CA,1707887319
12,blackmans bay,-43.0167,147.3167,18.16,37,14,1.79,AU,1707887486
13,mili,6.0815,171.735,27.57,75,100,7.53,MH,1707887487
14,satkania,22.0796,92.0572,30.42,17,98,3.33,BD,1707887488
15,bethel,41.3712,-73.414,-1.66,75,19,3.54,US,1707887489
16,atar,20.5169,-13.0499,23.28,25,38,0.26,MR,1707887490
17,kingscliff,-28.2667,153.5667,29.15,65,10,5.14,AU,1707887491
18,zheshart,62.0731,49.5733,-37.29,99,15,1.14,RU,1707887492
19,bonthe,7.5264,-12.505,25.77,90,53,1.8,SL,1707887493
20,bilibino,68.0546,166.4372,-31.7,99,100,0.84,RU,1707887494
21,olonkinbyen,70.9221,-8.7187,-4.93,89,100,11.1,SJ,1707887495
22,port macquarie,-31.4333,152.9167,31.05,60,5,4.45,AU,1707887332
23,longyearbyen,78.2186,15.6401,-2.09,69,40,11.32,SJ,1707887497
24,carnarvon,-24.8667,113.6333,33.26,44,0,5.07,AU,1707887498
25,revda,56.801,59.9303,-26.37,96,13,1.96,RU,1707887499
26,lebu,-37.6167,-73.65,13.19,91,7,3.18,CL,1707887501
27,isangel,-19.55,169.2667,28.1,85,26,8.71,VU,1707887504
28,itanhem,-17.1664,-40.33,21.86,92,26,1.76,BR,1707887505
29,okhotsk,59.3833,143.3,-22.07,86,30,2.03,RU,1707887506
30,mermoz boabab,14.7065,-17.4758,21.31,85,9,6.46,SN,1707887507
31,puerto natales,-51.7236,-72.4875,10.13,99,100,0.44,CL,1707887508
32,adamstown,-25.066,-130.1015,25.07,85,100,6.87,PN,1707887509
33,sola,-13.8833,167.55,28.35,76,23,7.24,VU,1707887510
34,awjilah,29.1081,21.2869,10.9,96,41,4.07,LY,1707887511
35,emerald,-23.5333,148.1667,30.19,67,99,3.99,AU,1707887406
36,ribeira grande,38.5167,-28.7,14.87,80,10,4.92,PT,1707887513
37,edinburgh of the seven seas,-37.0676,-12.3116,17.84,83,72,3.79,SH,1707887516
38,stanley,54.868,-1.6985,4.54,96,100,1.43,GB,1707887301
39,hermanus,-34.4187,19.2345,17.67,82,87,2.02,ZA,1707887518
40,lysekil,58.2743,11.4358,2.2,94,60,5.2,SE,1707887519
41,anna regina,7.2644,-58.5077,24.92,88,58,2.77,GY,1707887520
42,at taraf,25.3628,49.725,16.3,73,0,2.61,SA,1707887521
43,korostyshiv,50.3172,29.0563,5.67,93,100,5.92,UA,1707887522
44,outjo,-20.1167,16.15,24.72,52,98,0.19,NA,1707887523
45,taoudenni,22.6783,-3.9836,22.9,23,55,5.62,ML,1707887524
46,waitangi,-43.9535,-176.5597,17.12,76,1,5.18,NZ,1707887525
47,kirakira,-10.4544,161.9205,29.63,71,94,3.44,SB,1707887526
48,uturoa,-16.7333,-151.4333,25.74,89,100,10.26,PF,1707887527
49,ocean shores,46.9737,-124.1563,5.94,87,0,4.12,US,1707887528
50,ola,59.5833,151.2833,-19.37,80,100,1.34,RU,1707887529
51,chonchi,-42.6128,-73.8092,10.62,52,0,1.0,CL,1707887530
52,plonsk,52.6235,20.3755,1.42,89,77,2.39,PL,1707887531
53,papatowai,-46.5619,169.4708,21.38,48,0,1.18,NZ,1707887532
54,san patricio,28.017,-97.5169,12.5,62,51,3.21,US,1707887533
55,northam,51.0333,-4.2167,12.09,98,100,7.2,GB,1707887534
56,mangai,-4.05,19.5333,21.83,99,100,0.16,CD,1707887535
57,tapes,-30.6733,-51.3958,20.82,71,100,4.41,BR,1707887536
58,ambodifotatra,-16.9833,49.85,26.3,86,100,4.03,MG,1707887537
59,margaret river,-33.95,115.0667,26.06,45,83,3.47,AU,1707887538
60,maragogi,-9.0122,-35.2225,25.49,86,70,1.55,BR,1707887539
61,thompson,55.7435,-97.8558,-5.91,93,100,1.03,CA,1707887540
62,isafjordur,66.0755,-23.124,-2.88,83,78,6.77,IS,1707887541
